net,length_um
_04559_,35.34
_08283_,35.34
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[9\],35.34
net1191,35.34
_13939_,35.32
_13942_,35.32
_16344_,35.32
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.mant_large_s1\[12\],35.32
_05128_,35.3
_06926_,35.3
u_array.row_gen\[1\].col_gen\[1\].u_pe.x_out\[15\],35.3
_09291_,35.29
_05773_,35.28
_18024_,35.28
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[8\],35.26
_13648_,35.25
u_array.row_gen\[2\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[10\],35.25
net894,35.24
net2197,35.24
_12654_,35.22
_15015_,35.22
_04011_,35.2
_16849_,35.18
net906,35.18
_11277_,35.16
_12774_,35.16
_13403_,35.16
_03857_,35.14
_18554_,35.14
_04054_,35.1
_04813_,35.1
_04851_,35.1
_10419_,35.09
_14963_,35.08
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[12\],35.06
_18286_,35.04
_18391_,35.04
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.mant_sum_s2\[13\],35.02
_05550_,35
_08588_,35
_17187_,35
_10533_,34.98
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.mant_large_s1\[13\],34.98
net280,34.96
_08958_,34.94
net1048,34.92
_16186_,34.9
u_array.row_gen\[2\].col_gen\[2\].u_pe.x_out\[8\],34.9
_13582_,34.88
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.mant_large_s1\[5\],34.88
net832,34.88
_17292_,34.86
net2655,34.84
_02899_,34.82
net1567,34.82
net2118,34.82
u_array.p_wire\[12\]\[5\],34.78
_16969_,34.76
u_array.row_gen\[1\].col_gen\[0\].u_pe.u_fp16_adder.mant_sum_s2\[13\],34.76
_03927_,34.74
_08816_,34.74
_17416_,34.74
_11516_,34.72
_13441_,34.72
_14095_,34.72
_15371_,34.72
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.valid_s2,34.72
_03859_,34.7
_04258_,34.7
_05536_,34.7
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.mant_small_aligned_s1\[5\],34.7
_05271_,34.68
_11678_,34.675
_02895_,34.66
_03690_,34.66
_09938_,34.66
_08922_,34.62
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[7\],34.61
_03990_,34.56
_13269_,34.56
_05817_,34.54
_14479_,34.54
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[9\],34.54
_03807_,34.52
_08713_,34.52
post_mul_gen\[2\].u_post_mul.mant_mul_s1\[20\],34.52
u_array.row_gen\[0\].col_gen\[0\].u_pe.u_fp16_adder.mant_large_s1\[7\],34.52
_13846_,34.51
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[15\],34.5
_11242_,34.48
_05388_,34.42
_13267_,34.42
_16804_,34.42
_11255_,34.39
_03484_,34.38
_03748_,34.38
_18437_,34.38
clknet_leaf_262_clk,34.38
_04132_,34.36
_09324_,34.36
_18697_,34.36
net2192,34.36
_06577_,34.355
_05406_,34.34
_05752_,34.34
_03203_,34.32
_05431_,34.32
_08316_,34.32
_09745_,34.315
_18102_,34.3
clknet_leaf_169_clk,34.3
_09894_,34.28
_06940_,34.26
_07097_,34.26
_15359_,34.26
_06000_,34.24
_08204_,34.24
_08212_,34.24
_05552_,34.22
_14869_,34.22
_15363_,34.22
_02904_,34.2
_06950_,34.2
u_array.row_gen\[2\].col_gen\[2\].u_pe.x_s1\[10\],34.2
net1098,34.2
net1164,34.2
net962,34.18
u_array.row_gen\[1\].col_gen\[1\].u_pe.u_fp16_adder.exp_max_s1\[0\],34.16
_10090_,34.14
_18154_,34.14
u_array.row_gen\[2\].col_gen\[2\].u_pe.u_fp16_adder.exp_max_s2\[1\],34.14
_03782_,34.1
_04488_,34.08
_06937_,34.08
_17297_,34.08
_17894_,34.06
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_s1\[11\],34.06
_06625_,34.04
_10544_,34.04
_16537_,34.04
_08640_,34
u_array.row_gen\[1\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[10\],34
u_array.row_gen\[3\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[4\],34
u_array.row_gen\[3\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[11\],33.98
_07411_,33.96
_09408_,33.96
_03673_,33.94
_07529_,33.94
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s2\[1\],33.94
_08146_,33.92
_12647_,33.92
net738,33.92
_03742_,33.9
_06439_,33.9
u_array.p_wire\[7\]\[5\],33.88
net302,33.88
net816,33.88
net2624,33.88
net2744,33.88
_11826_,33.86
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.mant_large_s1\[9\],33.86
u_skew.row_skew\[2\].u_skew_buf.gen_delay.mem\[5\]\[0\],33.86
post_mul_gen\[2\].u_post_mul.exp_s1\[4\],33.84
u_array.p_wire\[4\]\[3\],33.84
_08250_,33.8
_10410_,33.8
_15319_,33.8
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s2\[2\],33.8
net797,33.8
_03637_,33.78
u_array.row_gen\[1\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[6\],33.76
net2329,33.76
net2413,33.76
_15947_,33.74
_17502_,33.74
net2733,33.74
_03505_,33.72
_10166_,33.68
u_array.p_wire\[8\]\[9\],33.68
_03770_,33.66
_05757_,33.64
_17130_,33.64
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.mant_sum_s2\[12\],33.64
_03376_,33.625
_09753_,33.62
_18227_,33.62
_16803_,33.6
_17305_,33.6
_04945_,33.56
_15023_,33.56
_16348_,33.56
u_array.p_wire\[12\]\[11\],33.56
u_array.row_gen\[3\].col_gen\[1\].u_pe.x_s1\[11\],33.56
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.exp_max_s2\[1\],33.54
_06448_,33.52
_09018_,33.5
_15361_,33.5
_18577_,33.5
_03041_,33.48
post_mul_gen\[3\].u_post_mul.exp_s1\[1\],33.48
_11467_,33.46
_17780_,33.45
_06554_,33.44
_08607_,33.44
post_mul_gen\[3\].u_post_mul.mant_mul_s1\[9\],33.44
pre_mul_gen\[1\].u_pre_mul.mul_out\[4\],33.42
_12476_,33.38
u_array.row_gen\[1\].col_gen\[2\].u_pe.x_out\[1\],33.38
_08379_,33.34
_12421_,33.34
pre_mul_gen\[2\].u_pre_mul.valid_s1,33.34
_05101_,33.33
_10728_,33.32
_10984_,33.32
_12994_,33.3
u_skew.row_skew\[2\].u_skew_buf.gen_delay.ptr\[4\],33.29
_18331_,33.28
net1719,33.26
_05049_,33.24
_18251_,33.2
pre_mul_gen\[1\].u_pre_mul.mul_out\[1\],33.2
net523,33.2
clknet_leaf_227_clk,33.195
_11196_,33.18
_14116_,33.16
_13701_,33.14
u_array.row_gen\[0\].col_gen\[0\].u_pe.x_out\[6\],33.14
net1540,33.14
net2512,33.14
_17143_,33.085
_04146_,33.08
net803,33.06
_05401_,33.04
post_mul_gen\[0\].u_post_mul.exp_s1\[0\],33.025
_03189_,33.02
_06180_,33.02
_17758_,33.02
_11097_,33
post_mul_gen\[1\].u_post_mul.mant_mul_s1\[15\],33
_10256_,32.98
_17800_,32.975
_03804_,32.96
post_mul_gen\[0\].u_post_mul.mant_mul_s1\[19\],32.96
_03238_,32.93
u_array.row_gen\[1\].col_gen\[1\].u_pe.w_out,32.92
u_array.row_gen\[3\].col_gen\[0\].u_pe.u_fp16_adder.exp_max_s1\[2\],32.92
_08480_,32.9
_04322_,32.88
_09414_,32.88
_16438_,32.88
post_mul_gen\[0\].u_post_mul.mant_mul_s1\[9\],32.88
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[7\],32.88
_18387_,32.87
_04703_,32.86
_09666_,32.86
_13534_,32.86
_13449_,32.84
_16835_,32.84
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s1\[3\],32.84
_11371_,32.82
_03091_,32.8
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.valid_s1,32.8
_14254_,32.78
_08288_,32.76
_09191_,32.76
_10610_,32.76
_11477_,32.76
_16305_,32.74
_11167_,32.72
_11631_,32.72
_17877_,32.72
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[8\],32.72
_05814_,32.7
_03570_,32.695
_05290_,32.69
_06289_,32.68
_09277_,32.68
_04242_,32.67
_17084_,32.64
_18558_,32.64
_08591_,32.62
_15471_,32.62
_15753_,32.62
_16879_,32.62
u_array.row_gen\[2\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[12\],32.62
_05086_,32.58
_05776_,32.58
_05169_,32.56
_10130_,32.56
_16055_,32.54
u_array.row_gen\[1\].col_gen\[0\].u_pe.u_fp16_adder.exp_max_s1\[3\],32.54
clknet_leaf_341_clk,32.54
_04150_,32.53
_05295_,32.52
_11433_,32.52
_03777_,32.5
_11031_,32.5
_12776_,32.5
_17979_,32.5
net2267,32.5
_06276_,32.48
_14886_,32.48
post_mul_gen\[2\].u_post_mul.mant_mul_s1\[7\],32.48
u_array.row_gen\[3\].col_gen\[2\].u_pe.u_fp16_adder.mant_small_aligned_s1\[4\],32.46
_04633_,32.455
_06332_,32.44
_03110_,32.42
_08804_,32.42
_14584_,32.42
_15574_,32.42
_18589_,32.42
_05132_,32.415
_04819_,32.4
_04143_,32.36
_16771_,32.36
post_mul_gen\[1\].u_post_mul.valid_s1,32.36
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[8\],32.36
_16467_,32.35
_12945_,32.34
_16753_,32.34
_10895_,32.32
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[4\],32.32
_17954_,32.3
_03198_,32.295
_18219_,32.28
net265,32.28
_05589_,32.26
_08844_,32.25
_12465_,32.25
_06285_,32.24
_06445_,32.24
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.mant_large_s1\[7\],32.235
_16488_,32.22
_05262_,32.2
_11700_,32.2
_09713_,32.18
_12477_,32.18
_05932_,32.16
_09063_,32.12
_11180_,32.12
_14682_,32.1
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[7\],32.1
_10935_,32.09
_08430_,32.08
_04687_,32.06
_06505_,32.06
_02995_,32.04
u_array.row_gen\[0\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[10\],32.04
net1414,32.04
_15275_,32.02
_03078_,32
_16332_,32
u_array.row_gen\[3\].col_gen\[0\].u_pe.u_fp16_adder.mant_sum_s2\[12\],32
net2163,31.98
_18071_,31.94
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.mant_large_s1\[9\],31.94
_14282_,31.92
u_array.p_wire\[7\]\[13\],31.92
net2626,31.92
_11220_,31.915
post_mul_gen\[0\].u_post_mul.mant_mul_s1\[1\],31.9
_08259_,31.88
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.sign_s2,31.88
_14982_,31.86
_10176_,31.84
_16746_,31.84
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.mant_large_s1\[10\],31.82
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[10\],31.82
clknet_leaf_32_clk,31.82
net521,31.82
_02924_,31.8
_09064_,31.8
_17926_,31.8
u_array.row_gen\[2\].col_gen\[0\].u_pe.u_fp16_adder.mant_large_s1\[7\],31.8
u_array.p_wire\[12\]\[3\],31.78
u_array.row_gen\[3\].col_gen\[0\].u_pe.u_fp16_adder.exp_max_s1\[0\],31.78
_14810_,31.76
_05427_,31.74
_17874_,31.74
_04712_,31.72
net1257,31.72
_15701_,31.715
_12758_,31.7
clknet_leaf_236_clk,31.7
_07369_,31.69
_06333_,31.68
_14292_,31.68
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.sign_large_s1,31.68
net667,31.68
_06927_,31.67
_10494_,31.66
_11448_,31.64
_15347_,31.64
net2320,31.64
_04701_,31.62
_17936_,31.62
u_array.row_gen\[2\].col_gen\[0\].u_pe.x_out\[0\],31.58
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_s1\[12\],31.56
_06290_,31.535
_06373_,31.52
net859,31.52
_13050_,31.5
_14063_,31.48
_03414_,31.46
_17371_,31.46
_08730_,31.44
net781,31.44
_08092_,31.43
_03441_,31.42
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.mant_large_s1\[7\],31.42
clknet_leaf_152_clk,31.42
net1989,31.42
_05790_,31.41
_05718_,31.4
_11253_,31.4
_17808_,31.4
net2160,31.4
u_array.row_gen\[3\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[9\],31.38
_02908_,31.36
_15958_,31.32
u_array.row_gen\[0\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s2\[2\],31.32
_09226_,31.3
_14306_,31.3
_07955_,31.29
_05417_,31.28
_09188_,31.28
_12350_,31.28
_14970_,31.28
_03052_,31.26
_17638_,31.26
u_array.row_gen\[2\].col_gen\[2\].u_pe.x_out\[6\],31.26
_03290_,31.24
_08332_,31.24
post_mul_gen\[2\].u_post_mul.exp_s1\[5\],31.24
clknet_leaf_239_clk,31.22
net2772,31.22
_14382_,31.2
_14931_,31.2
net2356,31.2
_06156_,31.16
_17096_,31.155
_18401_,31.15
_04604_,31.14
_12390_,31.14
u_array.row_gen\[2\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[7\],31.14
net2830,31.14
_04809_,31.12
_13800_,31.1
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[5\],31.1
_09134_,31.08
pre_mul_gen\[3\].u_pre_mul.exp_s1\[4\],31.08
net783,31.08
_15481_,31.06
_06250_,31.02
_10103_,31.02
_15149_,31.02
_13592_,31
_03035_,30.99
_09975_,30.96
_14985_,30.94
_15821_,30.94
post_mul_gen\[0\].u_post_mul.mant_mul_s1\[8\],30.94
post_mul_gen\[1\].u_post_mul.exp_s1\[2\],30.94
_11530_,30.93
_03697_,30.92
u_array.row_gen\[3\].col_gen\[0\].u_pe.u_fp16_adder.mant_large_s1\[8\],30.92
_12553_,30.9
_15587_,30.9
post_mul_gen\[0\].u_post_mul.mant_mul_s1\[14\],30.9
pre_mul_gen\[1\].u_pre_mul.mul_out\[13\],30.9
_08466_,30.88
_09080_,30.88
_09863_,30.88
_10745_,30.88
_13564_,30.86
post_mul_gen\[2\].u_post_mul.valid_s1,30.86
_05978_,30.84
_16458_,30.84
_15642_,30.83
_04200_,30.82
_12734_,30.82
_05443_,30.815
_08964_,30.78
_14694_,30.76
u_array.row_gen\[0\].col_gen\[2\].u_pe.u_fp16_adder.sign_s2,30.76
net1325,30.74
_09715_,30.72
_16223_,30.72
_16557_,30.72
_10165_,30.7
_16177_,30.7
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[12\],30.7
_10094_,30.68
_14056_,30.68
_06575_,30.66
_16564_,30.66
u_array.p_wire\[7\]\[4\],30.66
_11388_,30.64
_04825_,30.62
_16606_,30.62
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[9\],30.62
_09895_,30.6
_13925_,30.57
_06949_,30.54
_08423_,30.54
_10105_,30.54
_10524_,30.54
_07569_,30.52
_11407_,30.5
_16833_,30.5
net292,30.5
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[8\],30.48
_16017_,30.46
_05962_,30.44
_16521_,30.44
net2347,30.44
_05045_,30.42
_06124_,30.42
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.exp_max_s2\[2\],30.42
_06364_,30.4
_11358_,30.4
_17211_,30.395
_12219_,30.38
_15818_,30.38
_04704_,30.36
_10568_,30.36
_16817_,30.36
_17299_,30.36
u_array.row_gen\[0\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[7\],30.36
net2339,30.36
_08353_,30.34
_08390_,30.34
u_array.row_gen\[1\].col_gen\[0\].u_pe.u_fp16_adder.mant_large_s1\[7\],30.34
_13111_,30.33
_07502_,30.32
_13965_,30.32
_16647_,30.32
_18293_,30.32
_04007_,30.3
net2027,30.3
_03166_,30.28
_05412_,30.28
_14112_,30.28
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[8\],30.28
_13780_,30.26
net2017,30.24
_18758_,30.22
u_array.row_gen\[2\].col_gen\[2\].u_pe.u_fp16_adder.valid_s1,30.22
_03134_,30.2
_11293_,30.2
_15375_,30.2
_17066_,30.2
net2051,30.2
_08948_,30.18
_17097_,30.18
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.valid_out,30.18
net592,30.18
u_array.row_gen\[0\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[9\],30.175
_08380_,30.16
_09010_,30.14
_15499_,30.14
_17135_,30.14
_18570_,30.14
_06343_,30.12
_09356_,30.12
_15776_,30.12
clknet_leaf_127_clk,30.12
_07027_,30.1
_15221_,30.1
_03781_,30.09
_17111_,30.08
_17115_,30.08
_06901_,30.07
_14189_,30.06
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.valid_s2,30.06
_03438_,30.04
_05238_,30.04
_09844_,30.04
_11213_,30.04
_10951_,30.03
_12437_,30
u_array.row_gen\[0\].col_gen\[0\].u_pe.x_out\[1\],30
u_array.row_gen\[0\].col_gen\[0\].u_pe.x_out\[7\],30
net1193,30
_03503_,29.98
_14991_,29.98
u_array.row_gen\[3\].col_gen\[1\].u_pe.u_fp16_adder.exp_max_s1\[4\],29.98
_02993_,29.96
pre_mul_gen\[0\].u_pre_mul.mant_mul_s1\[19\],29.96
pre_mul_gen\[2\].u_pre_mul.mant_mul_s1\[18\],29.96
_04292_,29.94
_12514_,29.94
_08402_,29.92
_13720_,29.92
_16432_,29.92
net1994,29.92
_12628_,29.9
_13354_,29.9
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[12\],29.9
_14725_,29.88
_16294_,29.88
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[5\],29.88
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[7\],29.88
_15683_,29.86
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_s1\[9\],29.86
net1919,29.86
_05322_,29.84
_06233_,29.82
_08985_,29.82
u_array.p_wire\[7\]\[6\],29.82
net1075,29.82
_14149_,29.81
_03456_,29.8
_06012_,29.8
_10503_,29.8
_10825_,29.8
_10996_,29.8
_08363_,29.78
_11385_,29.78
_04844_,29.76
_10968_,29.76
_12681_,29.76
_14899_,29.76
_15510_,29.76
net1100,29.76
_10241_,29.74
_14838_,29.74
_15143_,29.74
_17756_,29.74
_04002_,29.72
_04089_,29.72
_09815_,29.72
_17842_,29.72
u_array.row_gen\[3\].col_gen\[2\].u_pe.u_fp16_adder.mant_small_aligned_s1\[7\],29.72
_08219_,29.7
_14864_,29.7
_15687_,29.7
u_array.row_gen\[3\].col_gen\[2\].u_pe.x_out\[4\],29.7
net2708,29.7
_06520_,29.695
_06084_,29.68
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.mant_small_aligned_s1\[6\],29.68
u_array.row_gen\[2\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[3\],29.68
_08307_,29.675
_17202_,29.675
_10576_,29.665
_08266_,29.66
_10848_,29.66
_12311_,29.66
_13906_,29.64
_16892_,29.64
net1005,29.64
_08239_,29.62
_15199_,29.62
_08463_,29.6
_10060_,29.6
_17923_,29.6
_08488_,29.56
u_array.row_gen\[0\].col_gen\[0\].u_pe.u_fp16_adder.mant_large_s1\[5\],29.56
_15643_,29.555
u_array.row_gen\[2\].col_gen\[2\].u_pe.x_out\[5\],29.54
_16353_,29.52
u_array.row_gen\[3\].col_gen\[1\].u_pe.u_fp16_adder.sign_s2,29.52
_06913_,29.5
_10141_,29.5
_14752_,29.5
_08280_,29.48
_10123_,29.48
_15802_,29.46
net748,29.46
_08246_,29.42
u_array.row_gen\[3\].col_gen\[2\].u_pe.u_fp16_adder.mant_large_s1\[12\],29.42
_04213_,29.4
_15441_,29.38
pre_mul_gen\[3\].u_pre_mul.exp_s1\[5\],29.38
net726,29.36
_10796_,29.34
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.mant_small_aligned_s1\[3\],29.34
_03775_,29.3
_02969_,29.28
_05808_,29.28
_14371_,29.28
_05266_,29.26
pre_mul_gen\[2\].u_pre_mul.zero_flag_s1,29.26
clknet_leaf_125_clk,29.26
_09276_,29.24
_14596_,29.22
_04245_,29.2
_09041_,29.2
_16799_,29.2
_13102_,29.18
_03803_,29.16
_18427_,29.16
col_deskew_out\[0\].genblk1.u_deskew_buf.gen_delay.ptr\[3\],29.16
u_array.row_gen\[2\].col_gen\[0\].u_pe.x_s2\[1\],29.16
_06943_,29.14
_13042_,29.14
_14155_,29.14
_13711_,29.12
_14376_,29.12
_17481_,29.12
post_mul_gen\[1\].u_post_mul.exp_s1\[1\],29.12
u_array.row_gen\[3\].col_gen\[1\].u_pe.x_s1\[14\],29.12
_10348_,29.1
_03420_,29.08
_14133_,29.08
_17247_,29.08
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[6\],29.08
_11521_,29.075
_05800_,29.06
_11029_,29.06
_15609_,29.06
_16323_,29.06
_09861_,29.04
_10462_,29.04
u_array.row_gen\[2\].col_gen\[0\].u_pe.x_s2\[2\],29.04
_03237_,29.02
_11312_,29.02
_17345_,29.02
pre_mul_gen\[1\].u_pre_mul.mul_out\[10\],29.02
net1167,29.02
_06164_,29
_10042_,29
_10696_,29
_11269_,29
_17999_,29
_03115_,28.98
_04130_,28.98
_14978_,28.98
_15937_,28.98
_16282_,28.96
_16258_,28.94
_16843_,28.94
_17562_,28.94
pre_mul_gen\[3\].u_pre_mul.mant_mul_s1\[21\],28.92
_04299_,28.9
_06614_,28.9
_09613_,28.9
_13828_,28.9
_13841_,28.9
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[3\],28.88
_16306_,28.86
u_array.row_gen\[0\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[1\],28.86
clknet_leaf_63_clk,28.86
_09600_,28.84
_14169_,28.84
_05975_,28.82
_06212_,28.82
_08715_,28.82
_15000_,28.82
_18137_,28.82
pre_mul_gen\[0\].u_pre_mul.mant_mul_s1\[14\],28.82
post_mul_gen\[3\].u_post_mul.mant_mul_s1\[4\],28.81
_10507_,28.8
_04543_,28.79
_18412_,28.78
_16039_,28.77
pre_mul_gen\[0\].u_pre_mul.mant_mul_s1\[20\],28.76
_08436_,28.74
_08590_,28.74
_08621_,28.74
u_array.row_gen\[1\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[9\],28.74
u_array.row_gen\[0\].col_gen\[2\].u_pe.u_fp16_adder.mant_small_aligned_s1\[6\],28.72
_14230_,28.7
_16960_,28.7
_12398_,28.67
_09819_,28.66
_10238_,28.66
_14792_,28.66
net619,28.66
net2642,28.66
net2660,28.64
_04325_,28.63
_08139_,28.62
_12438_,28.62
_15561_,28.62
net834,28.62
_06537_,28.6
_06632_,28.6
_08339_,28.6
pre_mul_gen\[2\].u_pre_mul.mant_mul_s1\[6\],28.6
u_array.row_gen\[3\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[2\],28.6
_03719_,28.58
_05714_,28.58
_09200_,28.56
_10127_,28.56
_13717_,28.56
_16099_,28.56
_17556_,28.56
net688,28.56
_08385_,28.54
_09561_,28.54
_11288_,28.54
_04183_,28.52
_05097_,28.52
_14389_,28.52
_15764_,28.52
_18444_,28.52
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.mant_small_aligned_s1\[9\],28.52
net522,28.52
_11579_,28.51
_03013_,28.5
_05533_,28.5
pre_mul_gen\[3\].u_pre_mul.exp_s1\[6\],28.5
_04667_,28.48
_07295_,28.48
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_s2\[0\],28.46
net1956,28.44
_06375_,28.42
_16526_,28.42
net1365,28.42
_03442_,28.4
_06793_,28.4
_10411_,28.4
_18249_,28.4
_16641_,28.38
u_array.row_gen\[3\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[12\],28.37
_03182_,28.36
_08717_,28.36
_12520_,28.36
_14798_,28.36
_17327_,28.36
_18563_,28.36
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[9\],28.36
u_array.row_gen\[2\].col_gen\[0\].u_pe.u_fp16_adder.valid_s1,28.34
net2523,28.34
_17734_,28.325
_17462_,28.32
_08704_,28.3
_17887_,28.3
u_array.row_gen\[3\].col_gen\[2\].u_pe.x_out\[1\],28.3
_10457_,28.28
_13895_,28.28
_15407_,28.28
pre_mul_gen\[2\].u_pre_mul.mant_mul_s1\[19\],28.28
u_array.row_gen\[1\].col_gen\[2\].u_pe.x_out\[2\],28.28
_08130_,28.26
_14531_,28.26
_16972_,28.26
post_mul_gen\[3\].u_post_mul.mant_mul_s1\[15\],28.26
_18223_,28.24
_13819_,28.22
_16181_,28.22
_16296_,28.22
_09334_,28.2
_16698_,28.2
post_mul_gen\[1\].u_post_mul.exp_s1\[4\],28.2
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[4\],28.2
_11237_,28.18
_16567_,28.18
_16724_,28.18
_09210_,28.16
_14392_,28.16
_03768_,28.14
_13691_,28.14
_16614_,28.14
_17104_,28.14
u_array.row_gen\[2\].col_gen\[2\].u_pe.u_fp16_adder.mant_small_aligned_s1\[4\],28.14
net2691,28.14
col_deskew_out\[1\].genblk1.v_deskew_shift\[1\],28.12
u_array.row_gen\[0\].col_gen\[3\].u_pe.u_fp16_adder.valid_s1,28.12
u_array.row_gen\[2\].col_gen\[2\].u_pe.x_out\[7\],28.12
clknet_leaf_334_clk,28.12
_09467_,28.1
_14946_,28.08
_15157_,28.06
_04228_,28.04
_10756_,28.04
_11544_,28.04
_17333_,28.04
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.mant_large_s1\[6\],28.04
_15589_,28.03
_04142_,28.025
_09790_,28.02
_13038_,28.02
_13309_,28.02
_14732_,28.02
u_array.row_gen\[2\].col_gen\[2\].u_pe.x_out\[3\],28.02
_14036_,28.01
_11392_,28
_03453_,27.98
_06305_,27.98
_14984_,27.98
_18116_,27.98
net774,27.98
u_array.row_gen\[3\].col_gen\[0\].u_pe.u_fp16_adder.mant_small_aligned_s1\[7\],27.975
_08962_,27.96
_14438_,27.96
_18588_,27.96
_04603_,27.94
_06598_,27.94
pre_mul_gen\[0\].u_pre_mul.mant_mul_s1\[21\],27.94
_04184_,27.92
_09251_,27.92
clknet_leaf_87_clk,27.92
_03295_,27.9
_03444_,27.9
_09795_,27.9
_15346_,27.9
