net,length_um
pre_mul_gen\[3\].u_pre_mul.mul_out\[14\],322.78
net56,320.76
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[6\],319.18
net370,319.14
_06769_,318.505
net155,317.575
u_array.p_wire\[14\]\[0\],317.18
_10403_,314.43
net20,313.1
_10272_,313.04
net333,312.99
_16229_,312.5
u_array.p_wire\[14\]\[14\],311.96
net84,310.32
clknet_5_12__leaf_clk,308.93
pre_mul_gen\[0\].u_pre_mul.valid_s1,308.14
_04376_,307.56
u_array.p_wire\[14\]\[4\],307.44
net329,307.22
_07566_,306.365
pre_mul_gen\[3\].u_pre_mul.mul_out\[3\],305.34
net138,304.98
u_array.p_wire\[14\]\[5\],303.8
net248,303.18
clknet_5_7__leaf_clk,302.29
net98,301.05
pre_mul_gen\[3\].u_pre_mul.mul_out\[1\],300.28
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[9\],297.73
net148,295.15
_10300_,294.72
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[5\],294.44
_15671_,291.94
pre_mul_gen\[3\].u_pre_mul.mul_out\[11\],290.95
_12933_,288.38
net54,288.2
_15106_,287.06
net413,286.13
net203,285.92
pre_mul_gen\[1\].u_pre_mul.exp_s1\[0\],285.58
_10286_,285
net25,284.86
net42,284.08
net191,283.98
clknet_5_10__leaf_clk,283.87
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[4\],283.78
_14314_,282.42
net602,281.62
net850,281.1
net398,280.13
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[14\],280.04
_10314_,279.115
_07565_,278.87
net230,278.38
_15964_,277.54
u_array.p_wire\[14\]\[15\],276.9
pre_mul_gen\[3\].u_pre_mul.sign_s1,276.44
net99,275.85
net346,275.19
net899,274.72
_08021_,274.4
_10281_,273.86
pre_mul_gen\[3\].u_pre_mul.mul_out\[7\],273.48
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[13\],272.78
_10430_,271.96
net257,269.83
net26,269.8
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[7\],269.77
u_array.row_gen\[2\].col_gen\[0\].u_pe.w_out,269.57
net126,268.53
clknet_5_6__leaf_clk,267.69
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[8\],267.66
_14440_,267.355
_15521_,267.24
net22,266.8
_15450_,266.36
post_mul_gen\[3\].u_post_mul.a_in\[15\],265.8
net1941,264.98
_10346_,263.66
net231,263.6
_15626_,263.26
net60,262.22
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[12\],261.4
net369,260.52
net233,259.58
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[9\],259.48
pre_mul_gen\[1\].u_pre_mul.exp_s1\[2\],258.975
_12279_,258.775
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[2\],258.54
net1346,257
net567,256.79
net204,256.73
clknet_5_5__leaf_clk,256.68
net2613,256.26
_03828_,255.84
net2308,255.58
net90,255.22
net118,254.18
_10266_,254.075
net397,253.84
_10517_,253.18
u_array.row_gen\[2\].col_gen\[2\].u_pe.u_fp16_adder.valid_out,253.08
net1873,252.62
net348,251.95
_06722_,250.905
net10,250.88
net2196,250.3
net572,250.26
net531,250.18
net351,250.04
_12308_,249.81
_07465_,249.47
net2172,248.435
u_array.row_gen\[1\].col_gen\[1\].u_pe.u_fp16_adder.valid_out,248.36
pre_mul_gen\[3\].u_pre_mul.mul_out\[15\],247.57
_05845_,247.04
_05187_,246.11
_07447_,245.88
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.valid_out,245.44
_05168_,244.92
net651,244.86
pre_mul_gen\[3\].u_pre_mul.mul_out\[8\],244.08
_15261_,243.1
net1766,242.68
_12241_,242
_05876_,241
_12431_,240.59
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[0\],240.42
_04326_,240.05
post_mul_gen\[1\].u_post_mul.valid_in,238.67
_04921_,238.605
_06800_,238.27
_14341_,237.81
_03124_,236.14
_09689_,235.56
_06792_,234.35
_05143_,234.27
_11955_,234.1
_12936_,233.87
_07983_,233.5
_05157_,233.12
net258,232.96
_14412_,232.47
net13,232.28
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[12\],231.94
pre_mul_gen\[1\].u_pre_mul.exp_s1\[3\],231.84
pre_mul_gen\[3\].u_pre_mul.mul_out\[4\],231.84
net194,231.42
net41,230.83
_09532_,230.22
_07779_,230.095
_11150_,229.74
_07930_,229.7
u_array.p_wire\[10\]\[15\],229.7
net365,229.35
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[6\],229.12
_05193_,228.68
_04923_,228.6
_16230_,228.36
_05139_,228.34
pre_mul_gen\[3\].u_pre_mul.mul_out\[2\],227.84
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[0\],227.71
_18266_,227.59
_10279_,227.58
_03125_,226.4
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[1\],226.19
net2116,226.17
_07422_,225.44
_08764_,225.38
_09530_,225.37
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[7\],225.36
_03145_,225.14
_05126_,225.02
_09734_,224.82
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[13\],224.7
_08959_,224.24
u_array.p_wire\[10\]\[11\],224.18
pre_mul_gen\[3\].u_pre_mul.mul_out\[6\],224.07
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[3\],223.9
_10264_,223.46
_13733_,223.325
net75,223.09
_09526_,222.32
_09583_,221.975
_03909_,221.82
net622,221.68
_08863_,221.58
_15405_,221.52
_05173_,220.82
u_array.row_gen\[0\].col_gen\[1\].u_pe.valid_in,219.97
_15475_,219.54
_12977_,219.39
pre_mul_gen\[1\].u_pre_mul.exp_s1\[4\],219.05
u_array.row_gen\[1\].col_gen\[2\].u_pe.u_fp16_adder.valid_s1,219.04
_08994_,218.295
_11073_,217.91
_07247_,217.58
net209,217.48
net649,217.48
net535,217.18
_07567_,217.08
_11916_,217.04
_12296_,217.01
u_skew.row_skew\[1\].u_skew_buf.gen_delay.ptr\[0\],216.7
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[13\],216.14
_07741_,215.9
_11033_,214.58
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[8\],213.88
_08793_,213.155
_09785_,213.125
_06634_,212.96
net85,212.84
u_skew.row_skew\[1\].u_skew_buf.gen_delay.ptr\[1\],212.46
_09737_,212.37
_12259_,212.245
net529,212.14
_09544_,211.72
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[2\],211.6
_11084_,211.45
_11078_,211.355
net193,211.16
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[5\],209.5
_09500_,209.16
_07874_,208.86
_07428_,208.6
_05112_,208.56
_09284_,208.555
_06805_,208
_03309_,207.32
_13147_,207.02
_10271_,206.96
_10337_,206.38
_13856_,205.58
_09521_,205.57
_10280_,205.24
_11172_,205
net260,204.92
net402,204.88
_12246_,204.775
_07609_,204.56
net72,204.38
net245,204.12
_05121_,204
u_array.p_wire\[10\]\[10\],203.8
post_mul_gen\[3\].u_post_mul.a_in\[8\],203.665
pre_mul_gen\[0\].u_pre_mul.mul_out\[10\],203.28
_05213_,203.24
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[4\],202.98
_07423_,202.49
_07108_,202.255
_11994_,202.24
col_deskew_out\[1\].genblk1.u_deskew_buf.d_in\[9\],202.04
_13655_,201.82
u_array.row_gen\[0\].col_gen\[2\].u_pe.valid_in,201.78
_07331_,201.68
_10309_,201.63
_08040_,201.225
_09538_,201.1
_14361_,200.84
_09786_,200.72
_16755_,200.64
_12932_,200.24
_09531_,200.1
_14340_,200.09
net184,199.9
_05153_,199.865
_14363_,199.42
_11975_,198.8
_11381_,198.78
_09527_,198.38
_10315_,198.035
u_array.row_gen\[1\].col_gen\[2\].u_pe.x_s1\[5\],197.82
_05202_,197.74
_15700_,197.72
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[14\],197.67
_07107_,197.42
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.valid_s1,197.36
_05895_,197.18
_13129_,197.16
_08164_,197.04
_07307_,196.995
_08827_,196.74
_06570_,196.51
_05160_,195.9
_05182_,195.88
_14359_,195.81
_03128_,195.68
_06424_,195.43
net81,194.98
net108,194.9
_12062_,194.54
_12341_,194.375
pre_mul_gen\[3\].u_pre_mul.mul_out\[9\],194
col_deskew_out\[1\].genblk1.u_deskew_buf.d_in\[7\],193.88
_07349_,193.7
_12930_,193.34
_06796_,193.04
_07559_,192.86
_06822_,192.845
u_array.row_gen\[1\].col_gen\[0\].u_pe.u_fp16_adder.valid_s1,192.8
_04871_,192.505
_17640_,192.3
_08944_,192.285
_12226_,192.12
_09548_,192.06
_03137_,191.86
net101,191.78
_14356_,191.62
_06824_,191.615
_09599_,191.5
u_array.row_gen\[1\].col_gen\[2\].u_pe.x_s1\[6\],191.3
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[11\],191.18
_12937_,190.66
_10276_,190.6
_08908_,190.585
_08785_,190.47
_07387_,190.34
_12101_,190.28
_09730_,190.26
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[9\],189.915
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[10\],189.78
net103,189.42
_03206_,189.19
_06859_,189.14
_06401_,189.13
_18268_,189
_14378_,188.93
net180,188.82
_07963_,188.66
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[8\],188.66
_14307_,188.56
_12233_,188.52
_13092_,188.08
_13168_,187.9
_10275_,187.835
_08876_,187.48
net68,187.48
_03175_,186.84
_03127_,186.82
_17206_,186.6
_11284_,186.495
_07798_,186.38
net328,186.36
_11090_,186.245
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[14\],186.06
_12013_,186.05
_17507_,185.86
_08811_,185.485
_05115_,185.435
_11389_,185.32
_09652_,185.065
_07561_,184.905
post_mul_gen\[3\].u_post_mul.a_in\[9\],184.76
net354,184.63
_09495_,184.48
_14308_,183.86
_18040_,183.7
_08135_,183.62
net39,183.56
col_deskew_out\[1\].genblk1.u_deskew_buf.d_in\[6\],183.46
_05198_,183.36
net350,182.44
_17257_,182.11
_07248_,182.04
net17,181.22
u_array.row_gen\[1\].col_gen\[2\].u_pe.x_s1\[4\],181.08
_13651_,181.02
_11023_,180.975
_15333_,180.95
_11094_,180.94
_04398_,180.43
u_array.p_wire\[10\]\[12\],180.42
_05154_,180.39
_11077_,180.205
_15236_,179.76
_11025_,179.64
net386,179.4
_14527_,179.38
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[12\],179.34
_03185_,179.1
_12082_,179.02
_12120_,179.02
_12063_,178.82
_12927_,178.5
_11007_,178.28
_11079_,178.215
u_array.row_gen\[1\].col_gen\[2\].u_pe.x_s1\[1\],178.1
_11080_,177.88
_12445_,177.82
net219,177.78
_14353_,177.77
pre_mul_gen\[0\].u_pre_mul.mul_out\[14\],177.7
_10260_,177.68
_10289_,177.455
_06834_,177.42
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[7\],177.26
_11104_,177.245
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s2\[3\],177.12
_17006_,176.9
net67,176.9
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[10\],176.88
net311,176.68
_04540_,176.44
_11085_,176.14
col_deskew_out\[1\].genblk1.u_deskew_buf.d_in\[8\],175.72
_07572_,175.54
_12177_,175.46
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[0\],175.42
_06987_,175.36
pre_mul_gen\[0\].u_pre_mul.valid_out,175.35
